id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts252758,Get Organized with The Home Edit,SHOW,"Expert home organizers Clea and Joanna help celebrities and everyday clients edit, categorize and contain their clutter to create stunning spaces.",2020,TV-PG,42,['reality'],['US'],2.0,tt10834478,5.5,1668.0,6.888,6.583
tm449590,Rattlesnake,MOVIE,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",2019,,85,"['drama', 'horror', 'thriller', 'crime']",['US'],,tt9257484,4.6,9018.0,13.961,5.2
ts89119,The Disappearance of Madeleine McCann,SHOW,"The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family.",2019,TV-14,55,"['crime', 'documentation']",['GB'],1.0,tt9879074,6.6,11194.0,9.901,6.278
ts85480,Carole & Tuesday,SHOW,"Fifty years have passed since mankind began migrating to the new frontier: Mars. It's an age where most culture is produced by AI, and people are content to be passive consumers.  There's a girl. Scrapping a living in the metropolis of Alba City, she's working part time while trying to become a musician. She's always felt like something is missing. Her name is Carole.There's a girl. Born to a wealthy family in the provincial town of Herschel City, she dreams of becoming a musician, but nobody around her understands. She feels like the loneliest person in the world. Her name is Tuesday.

A chance meeting brings them together. They want to sing. They want to make music. Together, they feel like they just might have a chance. The two of them may only create a tiny wave. But that wave will eventually grow into something larger...",2019,TV-PG,24,"['scifi', 'animation', 'drama', 'music']",['JP'],1.0,tt8107988,7.8,2236.0,23.402,7.2
tm948100,Footfairy,MOVIE,"The plot is set in Mumbai, a city of dream and land of opportunities. The psychological crime thriller showcases an intriguing chase between a serial killer with a distinctive fetish and CBI officer named Gulshan. In the serial killer's point of view, the film explores the fugitive's darkest desire for momentary pleasure.",2020,,115,"['crime', 'thriller']",['IN'],,tt13130532,4.6,1324.0,2.338,3.625
ts86912,Surviving R. Kelly,SHOW,"Celebrated as one of the greatest R&B singers of all time, R. Kelly’s genre defining career and playboy lifestyle has been riddled with rumors of abuse, predatory behavior, and pedophilia. Despite damning evidence and multiple witnesses, to date, none of these accusations have seemingly affected him. For the first time ever, survivors and people from R. Kelly’s inner circle, are coming forward with new allegations about his sexual, mental, and physical abuse. They are now finally ready to share their full story and shed light on the secret life the public has never seen.",2019,TV-14,52,"['documentation', 'crime', 'music']",['US'],3.0,tt8385496,7.5,4906.0,5.52,7.3
ts268799,Equinox,SHOW,"Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",2020,,46,"['scifi', 'drama']",['DK'],1.0,,,,13.447,7.414
tm449195,The Boy Who Harnessed the Wind,MOVIE,"Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",2019,,113,"['drama', 'history']","['US', 'MW', 'GB']",,tt7533152,7.6,40238.0,28.14,7.937
ts243036,Selena: The Series,SHOW,"As Mexican-American Tejano singer Selena comes of age and realizes her dreams, she and her family make tough choices to hold on to love and music.",2020,TV-PG,38,"['drama', 'music']",['US'],2.0,tt9421868,6.9,4737.0,26.344,7.505
tm483997,The Kissing Booth 2,MOVIE,"In the sequel to 2018's The Kissing Booth', high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",2020,,134,"['romance', 'comedy']","['GB', 'US']",,tt9784456,5.7,33654.0,36.813,7.743
ts251782,High Score,SHOW,"This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.",2020,TV-14,42,"['documentation', 'history']",['US'],1.0,tt12759400,7.4,8381.0,14.752,7.521
ts254592,Song Exploder,SHOW,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.,2020,TV-MA,25,"['documentation', 'music']",['US'],2.0,tt13110256,7.4,833.0,4.03,7.8
tm827216,Bill Burr: Paper Tiger,MOVIE,"Comedian Bill Burr talks male feminists, outrage culture, robot sex, and cultural appropriation in this standup comedy special shot in London.",2019,,67,['comedy'],"['GB', 'US']",,tt10847306,8.1,11821.0,8.55,7.4
tm450673,The Last Laugh,MOVIE,"After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit.",2019,,98,['comedy'],['US'],,tt7427356,5.6,6623.0,8.948,5.375
tm441232,Someone Great,MOVIE,"An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart, she and her two best friends spend one outrageous last adventure in New York City.",2019,R,92,"['comedy', 'romance']",['US'],,tt8075260,6.1,23642.0,13.47,6.368
ts275111,Rainbow High,SHOW,7 girls at Rainbow High must face challenges and learn to flaunt their true colors.,2020,TV-Y,7,"['comedy', 'family', 'animation']","['US', 'AU']",5.0,tt13488080,5.9,171.0,8.532,8.7
tm845415,Miss Americana,MOVIE,"A raw and emotionally revealing look at one of the most iconic artists of our time during a transformational period in her life as she learns to embrace her role not only as a songwriter and performer, but as a woman harnessing the full power of her voice.",2020,R,85,"['music', 'documentation']",['US'],,tt11388580,7.4,20837.0,18.343,7.932
tm821164,Enter the Anime,MOVIE,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced documentary seeks to find the answers.",2019,,58,['documentation'],"['US', 'JP']",,tt10662450,2.6,1741.0,4.424,5.7
ts105542,The Baker and the Beauty,SHOW,A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series 'The Baker and the Beauty'.,2020,TV-14,39,"['drama', 'romance', 'comedy']","['IL', 'US']",1.0,tt9164986,7.3,4563.0,5.447,8.093
ts90508,Flinch,SHOW,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",2019,TV-PG,24,['reality'],['GB'],1.0,tt9196244,4.3,773.0,3.72,5.571
tm348403,A Shaun the Sheep Movie: Farmageddon,MOVIE,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",2019,G,86,"['comedy', 'family', 'fantasy', 'scifi', 'animation']","['FR', 'GB']",,tt6193408,6.8,14536.0,21.831,6.9
ts252341,Chef's Table: BBQ,SHOW,"The Emmy-nominated series delves into the juicy, smoky world of barbecue, visiting acclaimed chefs and pitmasters in the US, Australia and Mexico.",2020,TV-14,44,['documentation'],['US'],1.0,tt12917170,7.8,1139.0,4.337,7.4
ts223126,The Confession Killer,SHOW,Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth -- and horrifying consequences.,2019,,48,"['crime', 'documentation']",['US'],1.0,tt11307176,7.4,9672.0,6.441,7.279
